ts,equity_total_usdt,realized_pnl_usdt,unrealized_pnl_usdt,cash_balance_usdt
2024-01-01T00:00:00Z,100000,0,0,0
2024-01-01T01:00:00Z,100000,0,0,0
2024-01-01T02:00:00Z,100000,0,0,0
2024-01-01T03:00:00Z,100000,0,0,0
2024-01-01T04:00:00Z,100000,0,0,0
2024-01-01T05:00:00Z,100000,0,0,0
2024-01-01T06:00:00Z,100000,0,0,0
2024-01-01T07:00:00Z,100000,0,0,0
2024-01-01T08:00:00Z,100000,0,0,0
2024-01-01T09:00:00Z,100000,0,0,0
2024-01-01T10:00:00Z,100000,0,0,0
2024-01-01T11:00:00Z,100000,0,0,0
2024-01-01T12:00:00Z,100000,0,0,0
2024-01-01T13:00:00Z,100000,0,0,0
2024-01-01T14:00:00Z,100000,0,0,0
2024-01-01T15:00:00Z,100000,0,0,0
2024-01-01T16:00:00Z,100000,0,0,0
2024-01-01T17:00:00Z,100000,0,0,0
2024-01-01T18:00:00Z,100000,0,0,0
2024-01-01T19:00:00Z,100000,0,0,0
2024-01-01T20:00:00Z,100000,0,0,0
2024-01-01T21:00:00Z,100000,0,0,0
2024-01-01T22:00:00Z,100000,0,0,0
2024-01-01T23:00:00Z,100000,0,0,0
2024-01-02T00:00:00Z,100000,0,0,0
2024-01-02T01:00:00Z,100000,0,0,0
2024-01-02T02:00:00Z,100000,0,0,0
2024-01-02T03:00:00Z,100000,0,0,0
2024-01-02T04:00:00Z,100000,0,0,0
2024-01-02T05:00:00Z,100000,0,0,0
2024-01-02T06:00:00Z,100000,0,0,0
2024-01-02T07:00:00Z,100000,0,0,0
2024-01-02T08:00:00Z,100000,0,0,0
2024-01-02T09:00:00Z,100000,0,0,0
2024-01-02T10:00:00Z,100000,0,0,0
2024-01-02T11:00:00Z,100000,0,0,0
2024-01-02T12:00:00Z,100000,0,0,0
2024-01-02T13:00:00Z,100000,0,0,0
2024-01-02T14:00:00Z,100000,0,0,0
2024-01-02T15:00:00Z,100000,0,0,0
2024-01-02T16:00:00Z,100000,0,0,0
2024-01-02T17:00:00Z,100000,0,0,0
2024-01-02T18:00:00Z,100000,0,0,0
2024-01-02T19:00:00Z,100000,0,0,0
2024-01-02T20:00:00Z,100000,0,0,0
2024-01-02T21:00:00Z,100000,0,0,0
2024-01-02T22:00:00Z,100000,0,0,0
2024-01-02T23:00:00Z,100000,0,0,0
2024-01-03T00:00:00Z,100000,0,0,0
2024-01-03T01:00:00Z,100000,0,0,0
2024-01-03T02:00:00Z,99985.99760000000000000000000,0,0,0
2024-01-03T03:00:00Z,99983.85700423082457907612606,0,0,0
2024-01-03T04:00:00Z,99994.51801061063942054012568,0,0,0
2024-01-03T05:00:00Z,99990.81843753057993955964887,0,0,0
2024-01-03T06:00:00Z,100014.71875891974864488895285,0,0,0
2024-01-03T07:00:00Z,100015.96594076845589293423514,0,0,0
2024-01-03T08:00:00Z,100017.26109114980572744279753,0,0,0
2024-01-03T09:00:00Z,100008.55480247517628435746151,0,0,0
2024-01-03T10:00:00Z,100024.19854018323979469468029,0,0,0
2024-01-03T11:00:00Z,100014.01122306327049455557155,0,0,0
2024-01-03T12:00:00Z,100012.03851715834412625317792,0,0,0
2024-01-03T13:00:00Z,100005.93452137957499880078668,0,0,0
2024-01-03T14:00:00Z,100014.73674711948961481268288,0,0,0
2024-01-03T15:00:00Z,99976.18203900801074495131194,0,0,0
2024-01-03T16:00:00Z,99985.60185960569866167793927,0,0,0
2024-01-03T17:00:00Z,99953.00724167506115987911930,0,0,0
2024-01-03T18:00:00Z,99959.64488737947906173550151,0,0,0
2024-01-03T19:00:00Z,99966.49839148078860267664412,0,0,0
2024-01-03T20:00:00Z,99965.47306409555331702403224,0,0,0
2024-01-03T21:00:00Z,99976.26598394013527126205210,0,0,0
2024-01-03T22:00:00Z,99978.22070164532066964071569,0,0,0
2024-01-03T23:00:00Z,99985.70379273756415791240946,0,0,0
2024-01-04T00:00:00Z,99984.54655188756175948577733,0,0,0
2024-01-04T01:00:00Z,99975.76231434738811339761117,0,0,0
2024-01-04T02:00:00Z,99986.59196038326857581426584,0,0,0
2024-01-04T03:00:00Z,99986.59196038326857581426584,0,0,0
2024-01-04T04:00:00Z,99986.59196038326857581426584,0,0,0
2024-01-04T05:00:00Z,99986.59196038326857581426584,0,0,0
2024-01-04T06:00:00Z,99986.59196038326857581426584,0,0,0
2024-01-04T07:00:00Z,99972.59143783060786901520602,0,0,0
2024-01-04T08:00:00Z,99967.41384869638990376449406,0,0,0
2024-01-04T09:00:00Z,99964.75396594894840903043265,0,0,0
2024-01-04T10:00:00Z,99952.88223983341888687662627,0,0,0
2024-01-04T11:00:00Z,99952.88816384844659621901839,0,0,0
