ts,equity_total_usdt,realized_pnl_usdt,unrealized_pnl_usdt,cash_balance_usdt
2024-01-01T00:00:00Z,100000,0,0,0
2024-01-01T01:00:00Z,100000,0,0,0
2024-01-01T02:00:00Z,100000,0,0,0
2024-01-01T03:00:00Z,100000,0,0,0
2024-01-01T04:00:00Z,100000,0,0,0
2024-01-01T05:00:00Z,100000,0,0,0
2024-01-01T06:00:00Z,100000,0,0,0
2024-01-01T07:00:00Z,100000,0,0,0
2024-01-01T08:00:00Z,100000,0,0,0
2024-01-01T09:00:00Z,100000,0,0,0
2024-01-01T10:00:00Z,100000,0,0,0
2024-01-01T11:00:00Z,100000,0,0,0
2024-01-01T12:00:00Z,100000,0,0,0
2024-01-01T13:00:00Z,100000,0,0,0
2024-01-01T14:00:00Z,100000,0,0,0
2024-01-01T15:00:00Z,100000,0,0,0
2024-01-01T16:00:00Z,100000,0,0,0
2024-01-01T17:00:00Z,100000,0,0,0
2024-01-01T18:00:00Z,100000,0,0,0
2024-01-01T19:00:00Z,100000,0,0,0
2024-01-01T20:00:00Z,100000,0,0,0
2024-01-01T21:00:00Z,100000,0,0,0
2024-01-01T22:00:00Z,100000,0,0,0
2024-01-01T23:00:00Z,100000,0,0,0
2024-01-02T00:00:00Z,100000,0,0,0
2024-01-02T01:00:00Z,100000,0,0,0
2024-01-02T02:00:00Z,100000,0,0,0
2024-01-02T03:00:00Z,100000,0,0,0
2024-01-02T04:00:00Z,100000,0,0,0
2024-01-02T05:00:00Z,100000,0,0,0
2024-01-02T06:00:00Z,100000,0,0,0
2024-01-02T07:00:00Z,100000,0,0,0
2024-01-02T08:00:00Z,100000,0,0,0
2024-01-02T09:00:00Z,100000,0,0,0
2024-01-02T10:00:00Z,100000,0,0,0
2024-01-02T11:00:00Z,100000,0,0,0
2024-01-02T12:00:00Z,100000,0,0,0
2024-01-02T13:00:00Z,100000,0,0,0
2024-01-02T14:00:00Z,100000,0,0,0
2024-01-02T15:00:00Z,100000,0,0,0
2024-01-02T16:00:00Z,100000,0,0,0
2024-01-02T17:00:00Z,100000,0,0,0
2024-01-02T18:00:00Z,100000,0,0,0
2024-01-02T19:00:00Z,100000,0,0,0
2024-01-02T20:00:00Z,100000,0,0,0
2024-01-02T21:00:00Z,100000,0,0,0
2024-01-02T22:00:00Z,100000,0,0,0
2024-01-02T23:00:00Z,100000,0,0,0
2024-01-03T00:00:00Z,100000,0,0,0
2024-01-03T01:00:00Z,100000,0,0,0
2024-01-03T02:00:00Z,99985.99760000000000000000000,0,0,0
2024-01-03T03:00:00Z,99980.70846036671368124118477,0,0,0
2024-01-03T04:00:00Z,100000.10197235543018335684062,0,0,0
2024-01-03T05:00:00Z,99950.73666911142454160789845,0,0,0
2024-01-03T06:00:00Z,100028.31071706629055007052186,0,0,0
2024-01-03T07:00:00Z,100005.39111198871650211565585,0,0,0
2024-01-03T08:00:00Z,100012.44329816643159379407616,0,0,0
2024-01-03T09:00:00Z,99948.97362256699576868829337,0,0,0
2024-01-03T10:00:00Z,99987.76064654442877291960508,0,0,0
2024-01-03T11:00:00Z,99978.94541382228490832157969,0,0,0
2024-01-03T12:00:00Z,99968.36713455571227080394922,0,0,0
2024-01-03T13:00:00Z,99961.31494837799717912552891,0,0,0
2024-01-03T14:00:00Z,100017.73243779971791255289140,0,0,0
2024-01-03T15:00:00Z,99899.60831932299012693935120,0,0,0
2024-01-03T16:00:00Z,99919.00183131170662905500705,0,0,0
2024-01-03T17:00:00Z,99862.58434188998589562764457,0,0,0
2024-01-03T18:00:00Z,99860.82129534555712270803949,0,0,0
2024-01-03T19:00:00Z,99846.71692299012693935119887,0,0,0
2024-01-03T20:00:00Z,99838.19601861777150916784203,0,0,0
2024-01-03T21:00:00Z,99838.19601861777150916784203,0,0,0
2024-01-03T22:00:00Z,99838.19601861777150916784203,0,0,0
2024-01-03T23:00:00Z,99838.19601861777150916784203,0,0,0
2024-01-04T00:00:00Z,99838.19601861777150916784203,0,0,0
2024-01-04T01:00:00Z,99838.19601861777150916784203,0,0,0
2024-01-04T02:00:00Z,99838.19601861777150916784203,0,0,0
2024-01-04T03:00:00Z,99838.19601861777150916784203,0,0,0
2024-01-04T04:00:00Z,99838.19601861777150916784203,0,0,0
2024-01-04T05:00:00Z,99838.19601861777150916784203,0,0,0
2024-01-04T06:00:00Z,99838.19601861777150916784203,0,0,0
2024-01-04T07:00:00Z,99838.19601861777150916784203,0,0,0
2024-01-04T08:00:00Z,99838.19601861777150916784203,0,0,0
2024-01-04T09:00:00Z,99838.19601861777150916784203,0,0,0
2024-01-04T10:00:00Z,99838.19601861777150916784203,0,0,0
2024-01-04T11:00:00Z,99824.21627505846057433004231,0,0,0
