ts,equity_total_usdt,realized_pnl_usdt,unrealized_pnl_usdt,cash_balance_usdt
2024-01-01T00:00:00Z,100000,0,0,0
2024-01-01T01:00:00Z,100000,0,0,0
2024-01-01T02:00:00Z,100000,0,0,0
2024-01-01T03:00:00Z,100000,0,0,0
2024-01-01T04:00:00Z,100000,0,0,0
2024-01-01T05:00:00Z,100000,0,0,0
2024-01-01T06:00:00Z,100000,0,0,0
2024-01-01T07:00:00Z,100000,0,0,0
2024-01-01T08:00:00Z,100000,0,0,0
2024-01-01T09:00:00Z,100000,0,0,0
2024-01-01T10:00:00Z,100000,0,0,0
2024-01-01T11:00:00Z,100000,0,0,0
2024-01-01T12:00:00Z,100000,0,0,0
2024-01-01T13:00:00Z,100000,0,0,0
2024-01-01T14:00:00Z,100000,0,0,0
2024-01-01T15:00:00Z,100000,0,0,0
2024-01-01T16:00:00Z,100000,0,0,0
2024-01-01T17:00:00Z,100000,0,0,0
2024-01-01T18:00:00Z,100000,0,0,0
2024-01-01T19:00:00Z,100000,0,0,0
2024-01-01T20:00:00Z,100000,0,0,0
2024-01-01T21:00:00Z,100000,0,0,0
2024-01-01T22:00:00Z,100000,0,0,0
2024-01-01T23:00:00Z,100000,0,0,0
2024-01-02T00:00:00Z,100000,0,0,0
2024-01-02T01:00:00Z,100000,0,0,0
2024-01-02T02:00:00Z,100000,0,0,0
2024-01-02T03:00:00Z,100000,0,0,0
2024-01-02T04:00:00Z,100000,0,0,0
2024-01-02T05:00:00Z,100000,0,0,0
2024-01-02T06:00:00Z,100000,0,0,0
2024-01-02T07:00:00Z,100000,0,0,0
2024-01-02T08:00:00Z,100000,0,0,0
2024-01-02T09:00:00Z,100000,0,0,0
2024-01-02T10:00:00Z,100000,0,0,0
2024-01-02T11:00:00Z,100000,0,0,0
2024-01-02T12:00:00Z,100000,0,0,0
2024-01-02T13:00:00Z,100000,0,0,0
2024-01-02T14:00:00Z,100000,0,0,0
2024-01-02T15:00:00Z,100000,0,0,0
2024-01-02T16:00:00Z,100000,0,0,0
2024-01-02T17:00:00Z,100000,0,0,0
2024-01-02T18:00:00Z,100000,0,0,0
2024-01-02T19:00:00Z,100000,0,0,0
2024-01-02T20:00:00Z,100000,0,0,0
2024-01-02T21:00:00Z,100000,0,0,0
2024-01-02T22:00:00Z,100000,0,0,0
2024-01-02T23:00:00Z,100000,0,0,0
2024-01-03T00:00:00Z,100000,0,0,0
2024-01-03T01:00:00Z,100000,0,0,0
2024-01-03T02:00:00Z,99985.99760000000000000000000,0,0,0
2024-01-03T03:00:00Z,99958.32961581027667984189723,0,0,0
2024-01-03T04:00:00Z,99993.90273833992094861660079,0,0,0
2024-01-03T05:00:00Z,99974.13989249011857707509881,0,0,0
2024-01-03T06:00:00Z,100021.57072252964426877470356,0,0,0
2024-01-03T07:00:00Z,100013.66558418972332015810277,0,0,0
2024-01-03T08:00:00Z,100001.80787667984189723320158,0,0,0
2024-01-03T09:00:00Z,99970.18732332015810276679842,0,0,0
2024-01-03T10:00:00Z,100045.28613754940711462450593,0,0,0
2024-01-03T11:00:00Z,100021.57072252964426877470356,0,0,0
2024-01-03T12:00:00Z,100013.66558418972332015810277,0,0,0
2024-01-03T13:00:00Z,100009.71301501976284584980237,0,0,0
2024-01-03T14:00:00Z,100005.76044584980237154150198,0,0,0
2024-01-03T15:00:00Z,99993.90273833992094861660079,0,0,0
2024-01-03T16:00:00Z,100009.71301501976284584980237,0,0,0
2024-01-03T17:00:00Z,99914.85135494071146245059288,0,0,0
2024-01-03T18:00:00Z,99922.75649328063241106719368,0,0,0
2024-01-03T19:00:00Z,99930.66163162055335968379447,0,0,0
2024-01-03T20:00:00Z,99895.08850909090909090909091,0,0,0
2024-01-03T21:00:00Z,99922.75649328063241106719368,0,0,0
2024-01-03T22:00:00Z,99938.56676996047430830039526,0,0,0
2024-01-03T23:00:00Z,99942.51933913043478260869565,0,0,0
2024-01-04T00:00:00Z,99982.04503083003952569169960,0,0,0
2024-01-04T01:00:00Z,99954.37704664031620553359684,0,0,0
2024-01-04T02:00:00Z,100043.04665739130434782608695,0,0,0
2024-01-04T03:00:00Z,100029.03822982614978782608696,0,0,0
2024-01-04T04:00:00Z,100213.80414900871164272010974,0,0,0
2024-01-04T05:00:00Z,100186.85911912792137221473142,0,0,0
2024-01-04T06:00:00Z,100202.25627905980152678923332,0,0,0
2024-01-04T07:00:00Z,100198.40698907683148814560784,0,0,0
2024-01-04T08:00:00Z,100248.44775885544199051273901,0,0,0
2024-01-04T09:00:00Z,100240.74917888950191322548806,0,0,0
2024-01-04T10:00:00Z,100229.20130894059179729461164,0,0,0
2024-01-04T11:00:00Z,100229.20130894059179729461164,0,0,0
