ts,equity_total_usdt,realized_pnl_usdt,unrealized_pnl_usdt,cash_balance_usdt
2024-01-01T00:00:00Z,100000,0,0,0
2024-01-01T01:00:00Z,100000,0,0,0
2024-01-01T02:00:00Z,100000,0,0,0
2024-01-01T03:00:00Z,100000,0,0,0
2024-01-01T04:00:00Z,100000,0,0,0
2024-01-01T05:00:00Z,100000,0,0,0
2024-01-01T06:00:00Z,100000,0,0,0
2024-01-01T07:00:00Z,100000,0,0,0
2024-01-01T08:00:00Z,100000,0,0,0
2024-01-01T09:00:00Z,100000,0,0,0
2024-01-01T10:00:00Z,100000,0,0,0
2024-01-01T11:00:00Z,100000,0,0,0
2024-01-01T12:00:00Z,100000,0,0,0
2024-01-01T13:00:00Z,100000,0,0,0
2024-01-01T14:00:00Z,100000,0,0,0
2024-01-01T15:00:00Z,100000,0,0,0
2024-01-01T16:00:00Z,100000,0,0,0
2024-01-01T17:00:00Z,100000,0,0,0
2024-01-01T18:00:00Z,100000,0,0,0
2024-01-01T19:00:00Z,100000,0,0,0
2024-01-01T20:00:00Z,100000,0,0,0
2024-01-01T21:00:00Z,100000,0,0,0
2024-01-01T22:00:00Z,100000,0,0,0
2024-01-01T23:00:00Z,100000,0,0,0
2024-01-02T00:00:00Z,100000,0,0,0
2024-01-02T01:00:00Z,100000,0,0,0
2024-01-02T02:00:00Z,100000,0,0,0
2024-01-02T03:00:00Z,100000,0,0,0
2024-01-02T04:00:00Z,100000,0,0,0
2024-01-02T05:00:00Z,100000,0,0,0
2024-01-02T06:00:00Z,100000,0,0,0
2024-01-02T07:00:00Z,100000,0,0,0
2024-01-02T08:00:00Z,100000,0,0,0
2024-01-02T09:00:00Z,100000,0,0,0
2024-01-02T10:00:00Z,100000,0,0,0
2024-01-02T11:00:00Z,100000,0,0,0
2024-01-02T12:00:00Z,100000,0,0,0
2024-01-02T13:00:00Z,100000,0,0,0
2024-01-02T14:00:00Z,100000,0,0,0
2024-01-02T15:00:00Z,100000,0,0,0
2024-01-02T16:00:00Z,100000,0,0,0
2024-01-02T17:00:00Z,100000,0,0,0
2024-01-02T18:00:00Z,100000,0,0,0
2024-01-02T19:00:00Z,100000,0,0,0
2024-01-02T20:00:00Z,100000,0,0,0
2024-01-02T21:00:00Z,100000,0,0,0
2024-01-02T22:00:00Z,100000,0,0,0
2024-01-02T23:00:00Z,100000,0,0,0
2024-01-03T00:00:00Z,100000,0,0,0
2024-01-03T01:00:00Z,100000,0,0,0
2024-01-03T02:00:00Z,99985.99760000000000000000000,0,0,0
2024-01-03T03:00:00Z,99992.99844010081209745169420,0,0,0
2024-01-03T04:00:00Z,100016.80129644357322878745450,0,0,0
2024-01-03T05:00:00Z,99990.19810406048725847101652,0,0,0
2024-01-03T06:00:00Z,100051.80549694763371604592551,0,0,0
2024-01-03T07:00:00Z,100046.20482486698403808457015,0,0,0
2024-01-03T08:00:00Z,100060.20650506860823298795856,0,0,0
2024-01-03T09:00:00Z,100028.00264060487258471016522,0,0,0
2024-01-03T10:00:00Z,100033.60331268552226267152058,0,0,0
2024-01-03T11:00:00Z,100029.40280862503500420050406,0,0,0
2024-01-03T12:00:00Z,99988.79793604032483898067768,0,0,0
2024-01-03T13:00:00Z,99976.19642385886306356762812,0,0,0
2024-01-03T14:00:00Z,99992.99844010081209745169420,0,0,0
2024-01-03T15:00:00Z,99907.58819087090450854102492,0,0,0
2024-01-03T16:00:00Z,99921.58987107252870344441333,0,0,0
2024-01-03T17:00:00Z,99759.17038073368804256510781,0,0,0
2024-01-03T18:00:00Z,99768.97155687482497899747970,0,0,0
2024-01-03T19:00:00Z,99791.37424519742369084290115,0,0,0
2024-01-03T20:00:00Z,99778.77273301596191542985158,0,0,0
2024-01-03T21:00:00Z,99788.83473615233828059367124,0,0,0
2024-01-03T22:00:00Z,99788.83473615233828059367124,0,0,0
2024-01-03T23:00:00Z,99788.83473615233828059367124,0,0,0
2024-01-04T00:00:00Z,99788.83473615233828059367124,0,0,0
2024-01-04T01:00:00Z,99788.83473615233828059367124,0,0,0
2024-01-04T02:00:00Z,99788.83473615233828059367124,0,0,0
2024-01-04T03:00:00Z,99788.83473615233828059367124,0,0,0
2024-01-04T04:00:00Z,99788.83473615233828059367124,0,0,0
2024-01-04T05:00:00Z,99788.83473615233828059367124,0,0,0
2024-01-04T06:00:00Z,99788.83473615233828059367124,0,0,0
2024-01-04T07:00:00Z,99788.83473615233828059367124,0,0,0
2024-01-04T08:00:00Z,99788.83473615233828059367124,0,0,0
2024-01-04T09:00:00Z,99788.83473615233828059367124,0,0,0
2024-01-04T10:00:00Z,99788.83473615233828059367124,0,0,0
2024-01-04T11:00:00Z,99788.83473615233828059367124,0,0,0
