scenario	status	seconds	finished_utc
v1-basis-reversal-fee00bps-theta-surface-2023-block-bootstrap-real-fy	ok	39	2026-09-25T16:49:29Z
v1-basis-reversal-fee00bps-theta-surface-2024-block-bootstrap-real-fy	ok	39	2026-09-25T16:50:08Z
v1-basis-reversal-fee02bps-theta-surface-2023-block-bootstrap-real-fy	ok	43	2026-09-25T16:50:51Z
v1-basis-reversal-fee02bps-theta-surface-2024-block-bootstrap-real-fy	ok	36	2026-09-25T16:51:27Z
v1-basis-reversal-fee05bps-theta-surface-2023-block-bootstrap-real-fy	ok	36	2026-09-25T16:52:03Z
v1-basis-reversal-fee05bps-theta-surface-2024-block-bootstrap-real-fy	ok	36	2026-09-25T16:52:39Z
v1-basis-reversal-fee10bps-theta-surface-2023-block-bootstrap-real-fy	ok	36	2026-09-25T16:53:15Z
v1-basis-reversal-fee10bps-theta-surface-2024-block-bootstrap-real-fy	ok	36	2026-09-25T16:53:51Z
v1-carry-horizon-4h-theta-surface-2023-block-bootstrap-real-fy	ok	10	2026-09-25T16:54:01Z
v1-carry-horizon-4h-theta-surface-2024-block-bootstrap-real-fy	ok	12	2026-09-25T16:54:13Z
v1-carry-horizon-daily-theta-surface-2023-block-bootstrap-real-fy	ok	9	2026-09-25T16:54:22Z
v1-carry-horizon-daily-theta-surface-2024-block-bootstrap-real-fy	ok	9	2026-09-25T16:54:31Z
v1-carry-theta-surface-2023-block-bootstrap-real-fy	ok	34	2026-09-25T16:55:05Z
v1-carry-theta-surface-2024-block-bootstrap-real-fy	ok	34	2026-09-25T16:55:39Z
v1-momentum-theta-surface-2023-block-bootstrap-real-fy	ok	1461	2026-09-25T17:20:00Z
v1-mr-theta-surface-2023-block-bootstrap-real-fy	ok	2258	2026-09-25T17:57:38Z
v1-ts-horizon-4h-theta-surface-2023-block-bootstrap-real-fy	ok	11	2026-09-25T17:57:49Z
v1-ts-horizon-4h-theta-surface-2024-block-bootstrap-real-fy	ok	11	2026-09-25T17:58:00Z
v1-ts-horizon-daily-theta-surface-2023-block-bootstrap-real-fy	ok	9	2026-09-25T17:58:09Z
v1-ts-horizon-daily-theta-surface-2024-block-bootstrap-real-fy	ok	9	2026-09-25T17:58:18Z
v1-ts-momentum-theta-surface-2023-block-bootstrap-real-fy	ok	41	2026-09-25T17:58:59Z
v1-ts-momentum-theta-surface-2024-block-bootstrap-real-fy	ok	43	2026-09-25T17:59:42Z
v2-mn-basis-fee00bps-theta-surface-2023-block-bootstrap-real-fy	ok	18	2026-09-25T18:00:00Z
v2-mn-basis-fee00bps-theta-surface-2024-block-bootstrap-real-fy	ok	17	2026-09-25T18:00:17Z
v2-mn-basis-fee05bps-theta-surface-2023-block-bootstrap-real-fy	ok	16	2026-09-25T18:00:33Z
v2-mn-basis-fee05bps-theta-surface-2024-block-bootstrap-real-fy	ok	17	2026-09-25T18:00:50Z
v2-mn-basisperp-fee00bps-theta-surface-2023-block-bootstrap-real-fy	ok	19	2026-09-25T18:01:09Z
v2-mn-basisperp-fee00bps-theta-surface-2024-block-bootstrap-real-fy	ok	18	2026-09-25T18:01:27Z
v2-mn-basisperp-fee05bps-theta-surface-2023-block-bootstrap-real-fy	ok	18	2026-09-25T18:01:45Z
v2-mn-basisperp-fee05bps-theta-surface-2024-block-bootstrap-real-fy	ok	19	2026-09-25T18:02:04Z
v2-mn-funding-fee00bps-theta-surface-2023-block-bootstrap-real-fy	ok	17	2026-09-25T18:02:21Z
v2-mn-funding-fee00bps-theta-surface-2024-block-bootstrap-real-fy	ok	17	2026-09-25T18:02:38Z
v2-mn-funding-fee05bps-theta-surface-2023-block-bootstrap-real-fy	ok	17	2026-09-25T18:02:55Z
v2-mn-funding-fee05bps-theta-surface-2024-block-bootstrap-real-fy	ok	17	2026-09-25T18:03:12Z
