bar_index,timestamp_utc,equity_usd
0,2023-01-01T00:00Z,100000.00
25,2023-01-02T00:00Z,100279.23
49,2023-01-03T00:00Z,103615.26
73,2023-01-04T00:00Z,105678.66
97,2023-01-05T00:00Z,108172.62
121,2023-01-06T00:00Z,108352.28
145,2023-01-07T00:00Z,109303.91
169,2023-01-08T00:00Z,107936.39
193,2023-01-09T00:00Z,114907.55
217,2023-01-10T00:00Z,117898.18
241,2023-01-11T00:00Z,118251.27
265,2023-01-12T00:00Z,125653.41
289,2023-01-13T00:00Z,124521.12
313,2023-01-14T00:00Z,136009.89
337,2023-01-15T00:00Z,140461.92
361,2023-01-16T00:00Z,140890.05
385,2023-01-17T00:00Z,139992.36
409,2023-01-18T00:00Z,140514.48
433,2023-01-19T00:00Z,133414.77
457,2023-01-20T00:00Z,135862.55
481,2023-01-21T00:00Z,147028.78
505,2023-01-22T00:00Z,147040.16
529,2023-01-23T00:00Z,148110.53
553,2023-01-24T00:00Z,150159.05
577,2023-01-25T00:00Z,142119.31
601,2023-01-26T00:00Z,149933.99
625,2023-01-27T00:00Z,147292.86
649,2023-01-28T00:00Z,154443.19
673,2023-01-29T00:00Z,151823.59
697,2023-01-30T00:00Z,157230.45
721,2023-01-31T00:00Z,148289.50
745,2023-02-01T00:00Z,150361.13
769,2023-02-02T00:00Z,158843.15
793,2023-02-03T00:00Z,155200.42
817,2023-02-04T00:00Z,157521.09
841,2023-02-05T00:00Z,155548.65
865,2023-02-06T00:00Z,153371.76
889,2023-02-07T00:00Z,149227.71
913,2023-02-08T00:00Z,156307.82
937,2023-02-09T00:00Z,153000.04
961,2023-02-10T00:00Z,140330.62
985,2023-02-11T00:00Z,139700.86
1009,2023-02-12T00:00Z,141227.45
1033,2023-02-13T00:00Z,141031.42
1057,2023-02-14T00:00Z,137904.00
1081,2023-02-15T00:00Z,142087.93
1105,2023-02-16T00:00Z,153784.41
1129,2023-02-17T00:00Z,148339.03
1153,2023-02-18T00:00Z,154542.76
1177,2023-02-19T00:00Z,156481.65
1201,2023-02-20T00:00Z,156033.06
1225,2023-02-21T00:00Z,160631.85
1249,2023-02-22T00:00Z,156403.51
1273,2023-02-23T00:00Z,154119.55
1297,2023-02-24T00:00Z,153133.67
1321,2023-02-25T00:00Z,146435.38
1345,2023-02-26T00:00Z,144152.51
1369,2023-02-27T00:00Z,147483.55
