ts,equity_total_usdt,realized_pnl_usdt,unrealized_pnl_usdt,cash_balance_usdt
2024-01-01T00:00:00Z,100000,0,0,0
2024-01-01T01:00:00Z,100000,0,0,0
2024-01-01T02:00:00Z,100000,0,0,0
2024-01-01T03:00:00Z,100000,0,0,0
2024-01-01T04:00:00Z,100000,0,0,0
2024-01-01T05:00:00Z,100000,0,0,0
2024-01-01T06:00:00Z,100000,0,0,0
2024-01-01T07:00:00Z,100000,0,0,0
2024-01-01T08:00:00Z,100000,0,0,0
2024-01-01T09:00:00Z,100000,0,0,0
2024-01-01T10:00:00Z,100000,0,0,0
2024-01-01T11:00:00Z,100000,0,0,0
2024-01-01T12:00:00Z,100000,0,0,0
2024-01-01T13:00:00Z,100000,0,0,0
2024-01-01T14:00:00Z,100000,0,0,0
2024-01-01T15:00:00Z,100000,0,0,0
2024-01-01T16:00:00Z,100000,0,0,0
2024-01-01T17:00:00Z,100000,0,0,0
2024-01-01T18:00:00Z,100000,0,0,0
2024-01-01T19:00:00Z,100000,0,0,0
2024-01-01T20:00:00Z,100000,0,0,0
2024-01-01T21:00:00Z,100000,0,0,0
2024-01-01T22:00:00Z,100000,0,0,0
2024-01-01T23:00:00Z,100000,0,0,0
2024-01-02T00:00:00Z,100000,0,0,0
2024-01-02T01:00:00Z,100000,0,0,0
2024-01-02T02:00:00Z,100000,0,0,0
2024-01-02T03:00:00Z,100000,0,0,0
2024-01-02T04:00:00Z,100000,0,0,0
2024-01-02T05:00:00Z,100000,0,0,0
2024-01-02T06:00:00Z,100000,0,0,0
2024-01-02T07:00:00Z,100000,0,0,0
2024-01-02T08:00:00Z,100000,0,0,0
2024-01-02T09:00:00Z,100000,0,0,0
2024-01-02T10:00:00Z,100000,0,0,0
2024-01-02T11:00:00Z,100000,0,0,0
2024-01-02T12:00:00Z,100000,0,0,0
2024-01-02T13:00:00Z,100000,0,0,0
2024-01-02T14:00:00Z,100000,0,0,0
2024-01-02T15:00:00Z,100000,0,0,0
2024-01-02T16:00:00Z,100000,0,0,0
2024-01-02T17:00:00Z,100000,0,0,0
2024-01-02T18:00:00Z,100000,0,0,0
2024-01-02T19:00:00Z,100000,0,0,0
2024-01-02T20:00:00Z,100000,0,0,0
2024-01-02T21:00:00Z,100000,0,0,0
2024-01-02T22:00:00Z,100000,0,0,0
2024-01-02T23:00:00Z,100000,0,0,0
2024-01-03T00:00:00Z,100000,0,0,0
2024-01-03T01:00:00Z,100000,0,0,0
2024-01-03T02:00:00Z,99985.99760000000000000000000,0,0,0
2024-01-03T03:00:00Z,100049.23156567299006323396567,0,0,0
2024-01-03T04:00:00Z,100121.49895501355013550135501,0,0,0
2024-01-03T05:00:00Z,100175.69949701897018970189702,0,0,0
2024-01-03T06:00:00Z,100627.37068039747064137308040,0,0,0
2024-01-03T07:00:00Z,100627.37068039747064137308040,0,0,0
2024-01-03T08:00:00Z,100780.93888274616079494128275,0,0,0
2024-01-03T09:00:00Z,100618.33725672990063233965673,0,0,0
2024-01-03T10:00:00Z,100672.53779873532068654019874,0,0,0
2024-01-03T11:00:00Z,100699.63806973803071364046974,0,0,0
2024-01-03T12:00:00Z,100681.57122240289069557362240,0,0,0
2024-01-03T13:00:00Z,100663.50437506775067750677507,0,0,0
2024-01-03T14:00:00Z,100826.10600108401084010840108,0,0,0
2024-01-03T15:00:00Z,101070.00844010840108401084011,0,0,0
2024-01-03T16:00:00Z,101810.74918084914182475158085,0,0,0
2024-01-03T17:00:00Z,101828.81602818428184281842818,0,0,0
2024-01-03T18:00:00Z,101621.04728383017163504968383,0,0,0
2024-01-03T19:00:00Z,101639.11413116531165311653116,0,0,0
2024-01-03T20:00:00Z,101675.24782583559168925022584,0,0,0
2024-01-03T21:00:00Z,101810.74918084914182475158085,0,0,0
2024-01-03T22:00:00Z,101973.35080686540198735320686,0,0,0
2024-01-03T23:00:00Z,102063.68504354110207768744354,0,0,0
2024-01-04T00:00:00Z,102063.68504354110207768744354,0,0,0
2024-01-04T01:00:00Z,102271.45378789521228545618790,0,0,0
2024-01-04T02:00:00Z,102352.75460090334236675700090,0,0,0
2024-01-04T03:00:00Z,102461.15568491418247515808491,0,0,0
2024-01-04T04:00:00Z,102244.35351689250225835591689,0,0,0
2024-01-04T05:00:00Z,102090.78531454381210478771454,0,0,0
2024-01-04T06:00:00Z,102370.82144823848238482384824,0,0,0
2024-01-04T07:00:00Z,102623.75731093044263775971093,0,0,0
2024-01-04T08:00:00Z,102777.32551327913279132791328,0,0,0
2024-01-04T09:00:00Z,102434.05541391147244805781391,0,0,0
2024-01-04T10:00:00Z,102443.08883757904245709123758,0,0,0
2024-01-04T11:00:00Z,102298.55405889792231255645890,0,0,0
