ts,equity_total_usdt,realized_pnl_usdt,unrealized_pnl_usdt,cash_balance_usdt
2024-01-01T00:00:00Z,100000,0,0,0
2024-01-01T01:00:00Z,100000,0,0,0
2024-01-01T02:00:00Z,100000,0,0,0
2024-01-01T03:00:00Z,100000,0,0,0
2024-01-01T04:00:00Z,100000,0,0,0
2024-01-01T05:00:00Z,100000,0,0,0
2024-01-01T06:00:00Z,100000,0,0,0
2024-01-01T07:00:00Z,100000,0,0,0
2024-01-01T08:00:00Z,100000,0,0,0
2024-01-01T09:00:00Z,100000,0,0,0
2024-01-01T10:00:00Z,100000,0,0,0
2024-01-01T11:00:00Z,100000,0,0,0
2024-01-01T12:00:00Z,100000,0,0,0
2024-01-01T13:00:00Z,100000,0,0,0
2024-01-01T14:00:00Z,100000,0,0,0
2024-01-01T15:00:00Z,100000,0,0,0
2024-01-01T16:00:00Z,100000,0,0,0
2024-01-01T17:00:00Z,100000,0,0,0
2024-01-01T18:00:00Z,100000,0,0,0
2024-01-01T19:00:00Z,100000,0,0,0
2024-01-01T20:00:00Z,100000,0,0,0
2024-01-01T21:00:00Z,100000,0,0,0
2024-01-01T22:00:00Z,100000,0,0,0
2024-01-01T23:00:00Z,100000,0,0,0
2024-01-02T00:00:00Z,100000,0,0,0
2024-01-02T01:00:00Z,100000,0,0,0
2024-01-02T02:00:00Z,100000,0,0,0
2024-01-02T03:00:00Z,100000,0,0,0
2024-01-02T04:00:00Z,100000,0,0,0
2024-01-02T05:00:00Z,100000,0,0,0
2024-01-02T06:00:00Z,100000,0,0,0
2024-01-02T07:00:00Z,100000,0,0,0
2024-01-02T08:00:00Z,100000,0,0,0
2024-01-02T09:00:00Z,100000,0,0,0
2024-01-02T10:00:00Z,100000,0,0,0
2024-01-02T11:00:00Z,100000,0,0,0
2024-01-02T12:00:00Z,100000,0,0,0
2024-01-02T13:00:00Z,100000,0,0,0
2024-01-02T14:00:00Z,100000,0,0,0
2024-01-02T15:00:00Z,100000,0,0,0
2024-01-02T16:00:00Z,100000,0,0,0
2024-01-02T17:00:00Z,100000,0,0,0
2024-01-02T18:00:00Z,100000,0,0,0
2024-01-02T19:00:00Z,100000,0,0,0
2024-01-02T20:00:00Z,100000,0,0,0
2024-01-02T21:00:00Z,100000,0,0,0
2024-01-02T22:00:00Z,100000,0,0,0
2024-01-02T23:00:00Z,100000,0,0,0
2024-01-03T00:00:00Z,100000,0,0,0
2024-01-03T01:00:00Z,100000,0,0,0
2024-01-03T02:00:00Z,99985.99760000000000000000000,0,0,0
2024-01-03T03:00:00Z,99978.35818059587471352177234,0,0,0
2024-01-03T04:00:00Z,99993.63701940412528647822766,0,0,0
2024-01-03T05:00:00Z,99978.35818059587471352177234,0,0,0
2024-01-03T06:00:00Z,100047.11295523300229182582124,0,0,0
2024-01-03T07:00:00Z,100123.50714927425515660809778,0,0,0
2024-01-03T08:00:00Z,100131.14656867838044308632544,0,0,0
2024-01-03T09:00:00Z,100123.50714927425515660809778,0,0,0
2024-01-03T10:00:00Z,100276.29553735676088617265088,0,0,0
2024-01-03T11:00:00Z,100261.01669854851031321619557,0,0,0
2024-01-03T12:00:00Z,100199.90134331550802139037433,0,0,0
2024-01-03T13:00:00Z,100154.06482689075630252100840,0,0,0
2024-01-03T14:00:00Z,100199.90134331550802139037433,0,0,0
2024-01-03T15:00:00Z,100123.50714927425515660809778,0,0,0
2024-01-03T16:00:00Z,100238.09844033613445378151260,0,0,0
2024-01-03T17:00:00Z,100138.78598808250572956455309,0,0,0
2024-01-03T18:00:00Z,100024.19469702062643239113827,0,0,0
2024-01-03T19:00:00Z,99993.63701940412528647822766,0,0,0
2024-01-03T20:00:00Z,100062.39179404125286478227655,0,0,0
2024-01-03T21:00:00Z,100047.11295523300229182582124,0,0,0
2024-01-03T22:00:00Z,100100.58889106187929717341482,0,0,0
2024-01-03T23:00:00Z,100100.58889106187929717341482,0,0,0
2024-01-04T00:00:00Z,100184.62250450725744843391902,0,0,0
2024-01-04T01:00:00Z,100199.90134331550802139037433,0,0,0
2024-01-04T02:00:00Z,100367.96857020626432391138274,0,0,0
2024-01-04T03:00:00Z,101002.04038074866310160427808,0,0,0
2024-01-04T04:00:00Z,100818.69431504965622612681436,0,0,0
2024-01-04T05:00:00Z,100864.53083147440794499618029,0,0,0
2024-01-04T06:00:00Z,100940.92502551566080977845684,0,0,0
2024-01-04T07:00:00Z,101231.22296287242169595110772,0,0,0
2024-01-04T08:00:00Z,101261.78064048892284186401834,0,0,0
2024-01-04T09:00:00Z,101170.10760763941940412528648,0,0,0
2024-01-04T10:00:00Z,101643.75161069518716577540107,0,0,0
2024-01-04T11:00:00Z,101574.99683605805958747135218,0,0,0
