ts,equity_total_usdt,realized_pnl_usdt,unrealized_pnl_usdt,cash_balance_usdt
2024-01-01T00:00:00Z,100000,0,0,0
2024-01-01T01:00:00Z,100000,0,0,0
2024-01-01T02:00:00Z,100000,0,0,0
2024-01-01T03:00:00Z,100000,0,0,0
2024-01-01T04:00:00Z,100000,0,0,0
2024-01-01T05:00:00Z,100000,0,0,0
2024-01-01T06:00:00Z,100000,0,0,0
2024-01-01T07:00:00Z,100000,0,0,0
2024-01-01T08:00:00Z,100000,0,0,0
2024-01-01T09:00:00Z,100000,0,0,0
2024-01-01T10:00:00Z,100000,0,0,0
2024-01-01T11:00:00Z,100000,0,0,0
2024-01-01T12:00:00Z,100000,0,0,0
2024-01-01T13:00:00Z,100000,0,0,0
2024-01-01T14:00:00Z,100000,0,0,0
2024-01-01T15:00:00Z,100000,0,0,0
2024-01-01T16:00:00Z,100000,0,0,0
2024-01-01T17:00:00Z,100000,0,0,0
2024-01-01T18:00:00Z,100000,0,0,0
2024-01-01T19:00:00Z,100000,0,0,0
2024-01-01T20:00:00Z,100000,0,0,0
2024-01-01T21:00:00Z,100000,0,0,0
2024-01-01T22:00:00Z,100000,0,0,0
2024-01-01T23:00:00Z,100000,0,0,0
2024-01-02T00:00:00Z,100000,0,0,0
2024-01-02T01:00:00Z,100000,0,0,0
2024-01-02T02:00:00Z,100000,0,0,0
2024-01-02T03:00:00Z,100000,0,0,0
2024-01-02T04:00:00Z,100000,0,0,0
2024-01-02T05:00:00Z,100000,0,0,0
2024-01-02T06:00:00Z,100000,0,0,0
2024-01-02T07:00:00Z,100000,0,0,0
2024-01-02T08:00:00Z,100000,0,0,0
2024-01-02T09:00:00Z,100000,0,0,0
2024-01-02T10:00:00Z,100000,0,0,0
2024-01-02T11:00:00Z,100000,0,0,0
2024-01-02T12:00:00Z,100000,0,0,0
2024-01-02T13:00:00Z,100000,0,0,0
2024-01-02T14:00:00Z,100000,0,0,0
2024-01-02T15:00:00Z,100000,0,0,0
2024-01-02T16:00:00Z,100000,0,0,0
2024-01-02T17:00:00Z,100000,0,0,0
2024-01-02T18:00:00Z,100000,0,0,0
2024-01-02T19:00:00Z,100000,0,0,0
2024-01-02T20:00:00Z,100000,0,0,0
2024-01-02T21:00:00Z,100000,0,0,0
2024-01-02T22:00:00Z,100000,0,0,0
2024-01-02T23:00:00Z,100000,0,0,0
2024-01-03T00:00:00Z,100000,0,0,0
2024-01-03T01:00:00Z,100000,0,0,0
2024-01-03T02:00:00Z,99985.99760000000000000000000,0,0,0
2024-01-03T03:00:00Z,99832.37248947833775419982316,0,0,0
2024-01-03T04:00:00Z,99797.00555755968169761273210,0,0,0
2024-01-03T05:00:00Z,99805.84729053934571175950486,0,0,0
2024-01-03T06:00:00Z,99974.94543377541998231653404,0,0,0
2024-01-03T07:00:00Z,99913.05330291777188328912467,0,0,0
2024-01-03T08:00:00Z,99755.00732590627763041556145,0,0,0
2024-01-03T09:00:00Z,99825.74118974358974358974359,0,0,0
2024-01-03T10:00:00Z,99791.47947444739168877099912,0,0,0
2024-01-03T11:00:00Z,99731.79777683465959328028294,0,0,0
2024-01-03T12:00:00Z,99400.23279009725906277630416,0,0,0
2024-01-03T13:00:00Z,98878.57054429708222811671088,0,0,0
2024-01-03T14:00:00Z,98927.20007568523430592396110,0,0,0
2024-01-03T15:00:00Z,98712.78805092838196286472148,0,0,0
2024-01-03T16:00:00Z,99150.45383342175066312997348,0,0,0
2024-01-03T17:00:00Z,98999.03915614500442086648983,0,0,0
2024-01-03T18:00:00Z,99148.24340017683465959328028,0,0,0
2024-01-03T19:00:00Z,98957.72765190097259062776304,0,0,0
2024-01-03T20:00:00Z,98957.72765190097259062776304,0,0,0
2024-01-03T21:00:00Z,98957.72765190097259062776304,0,0,0
2024-01-03T22:00:00Z,98957.72765190097259062776304,0,0,0
2024-01-03T23:00:00Z,98957.72765190097259062776304,0,0,0
2024-01-04T00:00:00Z,98957.72765190097259062776304,0,0,0
2024-01-04T01:00:00Z,98957.72765190097259062776304,0,0,0
2024-01-04T02:00:00Z,98957.72765190097259062776304,0,0,0
2024-01-04T03:00:00Z,98957.72765190097259062776304,0,0,0
2024-01-04T04:00:00Z,98957.72765190097259062776304,0,0,0
2024-01-04T05:00:00Z,98957.72765190097259062776304,0,0,0
2024-01-04T06:00:00Z,98957.72765190097259062776304,0,0,0
2024-01-04T07:00:00Z,98957.72765190097259062776304,0,0,0
2024-01-04T08:00:00Z,98957.72765190097259062776304,0,0,0
2024-01-04T09:00:00Z,98957.72765190097259062776304,0,0,0
2024-01-04T10:00:00Z,98957.72765190097259062776304,0,0,0
2024-01-04T11:00:00Z,98957.72765190097259062776304,0,0,0
