ts,equity_total_usdt,realized_pnl_usdt,unrealized_pnl_usdt,cash_balance_usdt
2024-01-01T00:00:00Z,100000,0,0,0
2024-01-01T01:00:00Z,100000,0,0,0
2024-01-01T02:00:00Z,100000,0,0,0
2024-01-01T03:00:00Z,100000,0,0,0
2024-01-01T04:00:00Z,100000,0,0,0
2024-01-01T05:00:00Z,100000,0,0,0
2024-01-01T06:00:00Z,100000,0,0,0
2024-01-01T07:00:00Z,100000,0,0,0
2024-01-01T08:00:00Z,100000,0,0,0
2024-01-01T09:00:00Z,100000,0,0,0
2024-01-01T10:00:00Z,100000,0,0,0
2024-01-01T11:00:00Z,100000,0,0,0
2024-01-01T12:00:00Z,100000,0,0,0
2024-01-01T13:00:00Z,100000,0,0,0
2024-01-01T14:00:00Z,100000,0,0,0
2024-01-01T15:00:00Z,100000,0,0,0
2024-01-01T16:00:00Z,100000,0,0,0
2024-01-01T17:00:00Z,100000,0,0,0
2024-01-01T18:00:00Z,100000,0,0,0
2024-01-01T19:00:00Z,100000,0,0,0
2024-01-01T20:00:00Z,100000,0,0,0
2024-01-01T21:00:00Z,100000,0,0,0
2024-01-01T22:00:00Z,100000,0,0,0
2024-01-01T23:00:00Z,100000,0,0,0
2024-01-02T00:00:00Z,100000,0,0,0
2024-01-02T01:00:00Z,100000,0,0,0
2024-01-02T02:00:00Z,100000,0,0,0
2024-01-02T03:00:00Z,100000,0,0,0
2024-01-02T04:00:00Z,100000,0,0,0
2024-01-02T05:00:00Z,100000,0,0,0
2024-01-02T06:00:00Z,100000,0,0,0
2024-01-02T07:00:00Z,100000,0,0,0
2024-01-02T08:00:00Z,100000,0,0,0
2024-01-02T09:00:00Z,100000,0,0,0
2024-01-02T10:00:00Z,100000,0,0,0
2024-01-02T11:00:00Z,100000,0,0,0
2024-01-02T12:00:00Z,100000,0,0,0
2024-01-02T13:00:00Z,100000,0,0,0
2024-01-02T14:00:00Z,100000,0,0,0
2024-01-02T15:00:00Z,100000,0,0,0
2024-01-02T16:00:00Z,100000,0,0,0
2024-01-02T17:00:00Z,100000,0,0,0
2024-01-02T18:00:00Z,100000,0,0,0
2024-01-02T19:00:00Z,100000,0,0,0
2024-01-02T20:00:00Z,100000,0,0,0
2024-01-02T21:00:00Z,100000,0,0,0
2024-01-02T22:00:00Z,100000,0,0,0
2024-01-02T23:00:00Z,100000,0,0,0
2024-01-03T00:00:00Z,100000,0,0,0
2024-01-03T01:00:00Z,100000,0,0,0
2024-01-03T02:00:00Z,99985.99760000000000000000000,0,0,0
2024-01-03T03:00:00Z,99990.07257962510187449062755,0,0,0
2024-01-03T04:00:00Z,100002.29751850040749796251019,0,0,0
2024-01-03T05:00:00Z,99981.92262037489812550937245,0,0,0
2024-01-03T06:00:00Z,100026.74739625101874490627547,0,0,0
2024-01-03T07:00:00Z,100022.67241662591687041564792,0,0,0
2024-01-03T08:00:00Z,100022.67241662591687041564792,0,0,0
2024-01-03T09:00:00Z,100010.44747775061124694376528,0,0,0
2024-01-03T10:00:00Z,100026.74739625101874490627547,0,0,0
2024-01-03T11:00:00Z,100006.37249812550937245313773,0,0,0
2024-01-03T12:00:00Z,99994.14755925020374898125509,0,0,0
2024-01-03T13:00:00Z,99985.99760000000000000000000,0,0,0
2024-01-03T14:00:00Z,99985.99760000000000000000000,0,0,0
2024-01-03T15:00:00Z,99961.54772224938875305623472,0,0,0
2024-01-03T16:00:00Z,99990.07257962510187449062755,0,0,0
2024-01-03T17:00:00Z,99965.62270187449062754686227,0,0,0
2024-01-03T18:00:00Z,99985.99760000000000000000000,0,0,0
2024-01-03T19:00:00Z,99973.77266112469437652811736,0,0,0
2024-01-03T20:00:00Z,99985.99760000000000000000000,0,0,0
2024-01-03T21:00:00Z,99990.07257962510187449062755,0,0,0
2024-01-03T22:00:00Z,100006.37249812550937245313773,0,0,0
2024-01-03T23:00:00Z,100010.44747775061124694376528,0,0,0
2024-01-04T00:00:00Z,100014.52245737571312143439283,0,0,0
2024-01-04T01:00:00Z,100010.44747775061124694376528,0,0,0
2024-01-04T02:00:00Z,100026.74739625101874490627547,0,0,0
2024-01-04T03:00:00Z,100226.42139788101059494702526,0,0,0
2024-01-04T04:00:00Z,100462.77021613691931540342298,0,0,0
2024-01-04T05:00:00Z,100405.72050138549307253463733,0,0,0
2024-01-04T06:00:00Z,100385.34560325998370008149959,0,0,0
2024-01-04T07:00:00Z,100377.19564400977995110024450,0,0,0
2024-01-04T08:00:00Z,100389.42058288508557457212714,0,0,0
2024-01-04T09:00:00Z,100381.27062363488182559087205,0,0,0
2024-01-04T10:00:00Z,100373.12066438467807660961695,0,0,0
2024-01-04T11:00:00Z,100373.12066438467807660961695,0,0,0
