ts,equity_total_usdt,realized_pnl_usdt,unrealized_pnl_usdt,cash_balance_usdt
2024-01-01T00:00:00Z,100000,0,0,0
2024-01-01T01:00:00Z,100000,0,0,0
2024-01-01T02:00:00Z,100000,0,0,0
2024-01-01T03:00:00Z,100000,0,0,0
2024-01-01T04:00:00Z,100000,0,0,0
2024-01-01T05:00:00Z,100000,0,0,0
2024-01-01T06:00:00Z,100000,0,0,0
2024-01-01T07:00:00Z,100000,0,0,0
2024-01-01T08:00:00Z,100000,0,0,0
2024-01-01T09:00:00Z,100000,0,0,0
2024-01-01T10:00:00Z,100000,0,0,0
2024-01-01T11:00:00Z,100000,0,0,0
2024-01-01T12:00:00Z,100000,0,0,0
2024-01-01T13:00:00Z,100000,0,0,0
2024-01-01T14:00:00Z,100000,0,0,0
2024-01-01T15:00:00Z,100000,0,0,0
2024-01-01T16:00:00Z,100000,0,0,0
2024-01-01T17:00:00Z,100000,0,0,0
2024-01-01T18:00:00Z,100000,0,0,0
2024-01-01T19:00:00Z,100000,0,0,0
2024-01-01T20:00:00Z,100000,0,0,0
2024-01-01T21:00:00Z,100000,0,0,0
2024-01-01T22:00:00Z,100000,0,0,0
2024-01-01T23:00:00Z,100000,0,0,0
2024-01-02T00:00:00Z,100000,0,0,0
2024-01-02T01:00:00Z,100000,0,0,0
2024-01-02T02:00:00Z,100000,0,0,0
2024-01-02T03:00:00Z,100000,0,0,0
2024-01-02T04:00:00Z,100000,0,0,0
2024-01-02T05:00:00Z,100000,0,0,0
2024-01-02T06:00:00Z,100000,0,0,0
2024-01-02T07:00:00Z,100000,0,0,0
2024-01-02T08:00:00Z,100000,0,0,0
2024-01-02T09:00:00Z,100000,0,0,0
2024-01-02T10:00:00Z,100000,0,0,0
2024-01-02T11:00:00Z,100000,0,0,0
2024-01-02T12:00:00Z,100000,0,0,0
2024-01-02T13:00:00Z,100000,0,0,0
2024-01-02T14:00:00Z,100000,0,0,0
2024-01-02T15:00:00Z,100000,0,0,0
2024-01-02T16:00:00Z,100000,0,0,0
2024-01-02T17:00:00Z,100000,0,0,0
2024-01-02T18:00:00Z,100000,0,0,0
2024-01-02T19:00:00Z,100000,0,0,0
2024-01-02T20:00:00Z,100000,0,0,0
2024-01-02T21:00:00Z,100000,0,0,0
2024-01-02T22:00:00Z,100000,0,0,0
2024-01-02T23:00:00Z,100000,0,0,0
2024-01-03T00:00:00Z,100000,0,0,0
2024-01-03T01:00:00Z,100000,0,0,0
2024-01-03T02:00:00Z,99985.99760000000000000000000,0,0,0
2024-01-03T03:00:00Z,99942.43094301481266337496370,0,0,0
2024-01-03T04:00:00Z,99948.23983061283764159163520,0,0,0
2024-01-03T05:00:00Z,99965.66649340691257624164972,0,0,0
2024-01-03T06:00:00Z,100090.55757676444960790008713,0,0,0
2024-01-03T07:00:00Z,100134.12423374963694452512344,0,0,0
2024-01-03T08:00:00Z,100125.41090235259947720011618,0,0,0
2024-01-03T09:00:00Z,100049.89536357827476038338658,0,0,0
2024-01-03T10:00:00Z,100073.13091397037467325007261,0,0,0
2024-01-03T11:00:00Z,100029.56425698518733662503631,0,0,0
2024-01-03T12:00:00Z,99980.18871240197502178332849,0,0,0
2024-01-03T13:00:00Z,100020.85092558814986930002904,0,0,0
2024-01-03T14:00:00Z,100015.04203799012489108335754,0,0,0
2024-01-03T15:00:00Z,99954.04871821086261980830671,0,0,0
2024-01-03T16:00:00Z,99959.85760580888759802497822,0,0,0
2024-01-03T17:00:00Z,99913.38650502468777229160616,0,0,0
2024-01-03T18:00:00Z,99942.43094301481266337496370,0,0,0
2024-01-03T19:00:00Z,99962.76204960790008713331397,0,0,0
2024-01-03T20:00:00Z,100023.75536938716235840836480,0,0,0
2024-01-03T21:00:00Z,100029.56425698518733662503631,0,0,0
2024-01-03T22:00:00Z,100012.13759419111240197502178,0,0,0
2024-01-03T23:00:00Z,99983.09315620098751089166425,0,0,0
2024-01-04T00:00:00Z,99965.66649340691257624164972,0,0,0
2024-01-04T01:00:00Z,99954.04871821086261980830671,0,0,0
2024-01-04T02:00:00Z,100035.37314458321231484170781,0,0,0
2024-01-04T03:00:00Z,100125.41090235259947720011618,0,0,0
2024-01-04T04:00:00Z,100110.88868335753703165843741,0,0,0
2024-01-04T05:00:00Z,100076.03535776938716235840836,0,0,0
2024-01-04T06:00:00Z,100117.01891373801916932907349,0,0,0
2024-01-04T07:00:00Z,100117.01891373801916932907349,0,0,0
2024-01-04T08:00:00Z,100117.01891373801916932907349,0,0,0
2024-01-04T09:00:00Z,100117.01891373801916932907349,0,0,0
2024-01-04T10:00:00Z,100117.01891373801916932907349,0,0,0
2024-01-04T11:00:00Z,100117.01891373801916932907349,0,0,0
