ts,equity_total_usdt,realized_pnl_usdt,unrealized_pnl_usdt,cash_balance_usdt
2024-01-01T00:00:00Z,100000,0,0,0
2024-01-01T01:00:00Z,100000,0,0,0
2024-01-01T02:00:00Z,100000,0,0,0
2024-01-01T03:00:00Z,100000,0,0,0
2024-01-01T04:00:00Z,100000,0,0,0
2024-01-01T05:00:00Z,100000,0,0,0
2024-01-01T06:00:00Z,100000,0,0,0
2024-01-01T07:00:00Z,100000,0,0,0
2024-01-01T08:00:00Z,100000,0,0,0
2024-01-01T09:00:00Z,100000,0,0,0
2024-01-01T10:00:00Z,100000,0,0,0
2024-01-01T11:00:00Z,100000,0,0,0
2024-01-01T12:00:00Z,100000,0,0,0
2024-01-01T13:00:00Z,100000,0,0,0
2024-01-01T14:00:00Z,100000,0,0,0
2024-01-01T15:00:00Z,100000,0,0,0
2024-01-01T16:00:00Z,100000,0,0,0
2024-01-01T17:00:00Z,100000,0,0,0
2024-01-01T18:00:00Z,100000,0,0,0
2024-01-01T19:00:00Z,100000,0,0,0
2024-01-01T20:00:00Z,100000,0,0,0
2024-01-01T21:00:00Z,100000,0,0,0
2024-01-01T22:00:00Z,100000,0,0,0
2024-01-01T23:00:00Z,100000,0,0,0
2024-01-02T00:00:00Z,100000,0,0,0
2024-01-02T01:00:00Z,100000,0,0,0
2024-01-02T02:00:00Z,100000,0,0,0
2024-01-02T03:00:00Z,100000,0,0,0
2024-01-02T04:00:00Z,100000,0,0,0
2024-01-02T05:00:00Z,100000,0,0,0
2024-01-02T06:00:00Z,100000,0,0,0
2024-01-02T07:00:00Z,100000,0,0,0
2024-01-02T08:00:00Z,100000,0,0,0
2024-01-02T09:00:00Z,100000,0,0,0
2024-01-02T10:00:00Z,100000,0,0,0
2024-01-02T11:00:00Z,100000,0,0,0
2024-01-02T12:00:00Z,100000,0,0,0
2024-01-02T13:00:00Z,100000,0,0,0
2024-01-02T14:00:00Z,100000,0,0,0
2024-01-02T15:00:00Z,100000,0,0,0
2024-01-02T16:00:00Z,100000,0,0,0
2024-01-02T17:00:00Z,100000,0,0,0
2024-01-02T18:00:00Z,100000,0,0,0
2024-01-02T19:00:00Z,100000,0,0,0
2024-01-02T20:00:00Z,100000,0,0,0
2024-01-02T21:00:00Z,100000,0,0,0
2024-01-02T22:00:00Z,100000,0,0,0
2024-01-02T23:00:00Z,100000,0,0,0
2024-01-03T00:00:00Z,100000,0,0,0
2024-01-03T01:00:00Z,100000,0,0,0
2024-01-03T02:00:00Z,99985.99760000000000000000000,0,0,0
2024-01-03T03:00:00Z,99869.18491748018356278681685,0,0,0
2024-01-03T04:00:00Z,99806.08520951188986232790989,0,0,0
2024-01-03T05:00:00Z,99843.11065798915310805173133,0,0,0
2024-01-03T06:00:00Z,100042.31800050062578222778473,0,0,0
2024-01-03T07:00:00Z,100023.02304847726324572382144,0,0,0
2024-01-03T08:00:00Z,99920.81195127242386316228619,0,0,0
2024-01-03T09:00:00Z,100029.28087075511055486024197,0,0,0
2024-01-03T10:00:00Z,100242.56831339173967459324155,0,0,0
2024-01-03T11:00:00Z,100093.94503429286608260325407,0,0,0
2024-01-03T12:00:00Z,99725.77649027951606174384648,0,0,0
2024-01-03T13:00:00Z,100013.11482987067167292448894,0,0,0
2024-01-03T14:00:00Z,99446.78191372549019607843137,0,0,0
2024-01-03T15:00:00Z,99364.90873892365456821026283,0,0,0
2024-01-03T16:00:00Z,99795.65550571547768043387568,0,0,0
2024-01-03T17:00:00Z,100664.44983195661243220692532,0,0,0
2024-01-03T18:00:00Z,100477.23664881101376720901126,0,0,0
2024-01-03T19:00:00Z,100112.19701593658740091781393,0,0,0
2024-01-03T20:00:00Z,100244.65425415102211097204839,0,0,0
2024-01-03T21:00:00Z,100209.19326124322069253233208,0,0,0
2024-01-03T22:00:00Z,100279.59376186900292031706300,0,0,0
2024-01-03T23:00:00Z,99955.75145899040467250730079,0,0,0
2024-01-04T00:00:00Z,99965.65967759699624530663329,0,0,0
2024-01-04T01:00:00Z,100120.01929378389653733833959,0,0,0
2024-01-04T02:00:00Z,99639.20994876929495202336254,0,0,0
2024-01-04T03:00:00Z,99979.73977772215269086357947,0,0,0
2024-01-04T04:00:00Z,100092.38057872340425531914894,0,0,0
2024-01-04T05:00:00Z,100361.46693667083854818523154,0,0,0
2024-01-04T06:00:00Z,100138.27127542761785565289946,0,0,0
2024-01-04T07:00:00Z,100184.68345732165206508135169,0,0,0
2024-01-04T08:00:00Z,100001.64215569461827284105131,0,0,0
2024-01-04T09:00:00Z,99920.81195127242386316228619,0,0,0
2024-01-04T10:00:00Z,99806.08520951188986232790989,0,0,0
2024-01-04T11:00:00Z,99520.31132549019607843137255,0,0,0
