ts,equity_total_usdt,realized_pnl_usdt,unrealized_pnl_usdt,cash_balance_usdt
2024-01-01T00:00:00Z,100000,0,0,0
2024-01-01T01:00:00Z,100000,0,0,0
2024-01-01T02:00:00Z,100000,0,0,0
2024-01-01T03:00:00Z,100000,0,0,0
2024-01-01T04:00:00Z,100000,0,0,0
2024-01-01T05:00:00Z,100000,0,0,0
2024-01-01T06:00:00Z,100000,0,0,0
2024-01-01T07:00:00Z,100000,0,0,0
2024-01-01T08:00:00Z,100000,0,0,0
2024-01-01T09:00:00Z,100000,0,0,0
2024-01-01T10:00:00Z,100000,0,0,0
2024-01-01T11:00:00Z,100000,0,0,0
2024-01-01T12:00:00Z,100000,0,0,0
2024-01-01T13:00:00Z,100000,0,0,0
2024-01-01T14:00:00Z,100000,0,0,0
2024-01-01T15:00:00Z,100000,0,0,0
2024-01-01T16:00:00Z,100000,0,0,0
2024-01-01T17:00:00Z,100000,0,0,0
2024-01-01T18:00:00Z,100000,0,0,0
2024-01-01T19:00:00Z,100000,0,0,0
2024-01-01T20:00:00Z,100000,0,0,0
2024-01-01T21:00:00Z,100000,0,0,0
2024-01-01T22:00:00Z,100000,0,0,0
2024-01-01T23:00:00Z,100000,0,0,0
2024-01-02T00:00:00Z,100000,0,0,0
2024-01-02T01:00:00Z,100000,0,0,0
2024-01-02T02:00:00Z,100000,0,0,0
2024-01-02T03:00:00Z,100000,0,0,0
2024-01-02T04:00:00Z,100000,0,0,0
2024-01-02T05:00:00Z,100000,0,0,0
2024-01-02T06:00:00Z,100000,0,0,0
2024-01-02T07:00:00Z,100000,0,0,0
2024-01-02T08:00:00Z,100000,0,0,0
2024-01-02T09:00:00Z,100000,0,0,0
2024-01-02T10:00:00Z,100000,0,0,0
2024-01-02T11:00:00Z,100000,0,0,0
2024-01-02T12:00:00Z,100000,0,0,0
2024-01-02T13:00:00Z,100000,0,0,0
2024-01-02T14:00:00Z,100000,0,0,0
2024-01-02T15:00:00Z,100000,0,0,0
2024-01-02T16:00:00Z,100000,0,0,0
2024-01-02T17:00:00Z,100000,0,0,0
2024-01-02T18:00:00Z,100000,0,0,0
2024-01-02T19:00:00Z,100000,0,0,0
2024-01-02T20:00:00Z,100000,0,0,0
2024-01-02T21:00:00Z,100000,0,0,0
2024-01-02T22:00:00Z,100000,0,0,0
2024-01-02T23:00:00Z,100000,0,0,0
2024-01-03T00:00:00Z,100000,0,0,0
2024-01-03T01:00:00Z,100000,0,0,0
2024-01-03T02:00:00Z,99985.99760000000000000000000,0,0,0
2024-01-03T03:00:00Z,100028.72829488249058907315088,0,0,0
2024-01-03T04:00:00Z,100076.54597725099196255977210,0,0,0
2024-01-03T05:00:00Z,100051.11103982093804049242039,0,0,0
2024-01-03T06:00:00Z,100124.36365961949333604639333,0,0,0
2024-01-03T07:00:00Z,100073.49378475938549191168990,0,0,0
2024-01-03T08:00:00Z,100062.30241229016176620205514,0,0,0
2024-01-03T09:00:00Z,100030.76308987689490283853902,0,0,0
2024-01-03T10:00:00Z,100377.69563642283039983721640,0,0,0
2024-01-03T11:00:00Z,100277.99068169701902533319768,0,0,0
2024-01-03T12:00:00Z,100274.93848920541255468511548,0,0,0
2024-01-03T13:00:00Z,100301.39082413266863363516126,0,0,0
2024-01-03T14:00:00Z,100308.51260661308373181401974,0,0,0
2024-01-03T15:00:00Z,100292.23424665784922169091464,0,0,0
2024-01-03T16:00:00Z,100318.68658158510530064096042,0,0,0
2024-01-03T17:00:00Z,100254.59053926136941703123410,0,0,0
2024-01-03T18:00:00Z,100350.22590399837216400447655,0,0,0
2024-01-03T19:00:00Z,100317.66918408790314375826636,0,0,0
2024-01-03T20:00:00Z,100268.83410422219961338895106,0,0,0
2024-01-03T21:00:00Z,100241.36437179774137755621121,0,0,0
2024-01-03T22:00:00Z,100281.04287418862549598127989,0,0,0
2024-01-03T23:00:00Z,100297.32123414386000610438498,0,0,0
2024-01-04T00:00:00Z,100319.70397908230745752365449,0,0,0
2024-01-04T01:00:00Z,100339.03453152914843829484180,0,0,0
2024-01-04T02:00:00Z,100387.86961139485196866415709,0,0,0
2024-01-04T03:00:00Z,100545.56622346118628548173772,0,0,0
2024-01-04T04:00:00Z,100514.02690104791942211822159,0,0,0
2024-01-04T05:00:00Z,100487.57456612066334316817581,0,0,0
2024-01-04T06:00:00Z,100519.11388853393020653169193,0,0,0
2024-01-04T07:00:00Z,100514.02690104791942211822159,0,0,0
2024-01-04T08:00:00Z,100489.60936111506765693356394,0,0,0
2024-01-04T09:00:00Z,100427.54811378573608708922576,0,0,0
2024-01-04T10:00:00Z,100427.54811378573608708922576,0,0,0
2024-01-04T11:00:00Z,100402.11317635568216502187405,0,0,0
