ts,equity_total_usdt,realized_pnl_usdt,unrealized_pnl_usdt,cash_balance_usdt
2024-01-01T00:00:00Z,100000,0,0,0
2024-01-01T01:00:00Z,100000,0,0,0
2024-01-01T02:00:00Z,100000,0,0,0
2024-01-01T03:00:00Z,100000,0,0,0
2024-01-01T04:00:00Z,100000,0,0,0
2024-01-01T05:00:00Z,100000,0,0,0
2024-01-01T06:00:00Z,100000,0,0,0
2024-01-01T07:00:00Z,100000,0,0,0
2024-01-01T08:00:00Z,100000,0,0,0
2024-01-01T09:00:00Z,100000,0,0,0
2024-01-01T10:00:00Z,100000,0,0,0
2024-01-01T11:00:00Z,100000,0,0,0
2024-01-01T12:00:00Z,100000,0,0,0
2024-01-01T13:00:00Z,100000,0,0,0
2024-01-01T14:00:00Z,100000,0,0,0
2024-01-01T15:00:00Z,100000,0,0,0
2024-01-01T16:00:00Z,100000,0,0,0
2024-01-01T17:00:00Z,100000,0,0,0
2024-01-01T18:00:00Z,100000,0,0,0
2024-01-01T19:00:00Z,100000,0,0,0
2024-01-01T20:00:00Z,100000,0,0,0
2024-01-01T21:00:00Z,100000,0,0,0
2024-01-01T22:00:00Z,100000,0,0,0
2024-01-01T23:00:00Z,100000,0,0,0
2024-01-02T00:00:00Z,100000,0,0,0
2024-01-02T01:00:00Z,100000,0,0,0
2024-01-02T02:00:00Z,100000,0,0,0
2024-01-02T03:00:00Z,100000,0,0,0
2024-01-02T04:00:00Z,100000,0,0,0
2024-01-02T05:00:00Z,100000,0,0,0
2024-01-02T06:00:00Z,100000,0,0,0
2024-01-02T07:00:00Z,100000,0,0,0
2024-01-02T08:00:00Z,100000,0,0,0
2024-01-02T09:00:00Z,100000,0,0,0
2024-01-02T10:00:00Z,100000,0,0,0
2024-01-02T11:00:00Z,100000,0,0,0
2024-01-02T12:00:00Z,100000,0,0,0
2024-01-02T13:00:00Z,100000,0,0,0
2024-01-02T14:00:00Z,100000,0,0,0
2024-01-02T15:00:00Z,100000,0,0,0
2024-01-02T16:00:00Z,100000,0,0,0
2024-01-02T17:00:00Z,100000,0,0,0
2024-01-02T18:00:00Z,100000,0,0,0
2024-01-02T19:00:00Z,100000,0,0,0
2024-01-02T20:00:00Z,100000,0,0,0
2024-01-02T21:00:00Z,100000,0,0,0
2024-01-02T22:00:00Z,100000,0,0,0
2024-01-02T23:00:00Z,100000,0,0,0
2024-01-03T00:00:00Z,100000,0,0,0
2024-01-03T01:00:00Z,100000,0,0,0
2024-01-03T02:00:00Z,99985.99760000000000000000000,0,0,0
2024-01-03T03:00:00Z,99995.01473255184851217312894,0,0,0
2024-01-03T04:00:00Z,100031.08326275924256086564472,0,0,0
2024-01-03T05:00:00Z,100076.16892551848512173128945,0,0,0
2024-01-03T06:00:00Z,100193.39164869251577998196573,0,0,0
2024-01-03T07:00:00Z,100139.28885338142470694319206,0,0,0
2024-01-03T08:00:00Z,100148.30598593327321911632101,0,0,0
2024-01-03T09:00:00Z,100103.22032317403065825067628,0,0,0
2024-01-03T10:00:00Z,100157.32311848512173128944995,0,0,0
2024-01-03T11:00:00Z,100202.40878124436429215509468,0,0,0
2024-01-03T12:00:00Z,100157.32311848512173128944995,0,0,0
2024-01-03T13:00:00Z,100184.37451614066726780883679,0,0,0
2024-01-03T14:00:00Z,100229.46017889990982867448151,0,0,0
2024-01-03T15:00:00Z,100148.30598593327321911632101,0,0,0
2024-01-03T16:00:00Z,100274.54584165915238954012624,0,0,0
2024-01-03T17:00:00Z,100220.44304634806131650135257,0,0,0
2024-01-03T18:00:00Z,100247.49444400360685302073940,0,0,0
2024-01-03T19:00:00Z,100193.39164869251577998196573,0,0,0
2024-01-03T20:00:00Z,100175.35738358881875563570784,0,0,0
2024-01-03T21:00:00Z,100202.40878124436429215509468,0,0,0
2024-01-03T22:00:00Z,100220.44304634806131650135257,0,0,0
2024-01-03T23:00:00Z,100220.44304634806131650135257,0,0,0
2024-01-04T00:00:00Z,100247.49444400360685302073940,0,0,0
2024-01-04T01:00:00Z,100265.52870910730387736699729,0,0,0
2024-01-04T02:00:00Z,100373.73429972948602344454463,0,0,0
2024-01-04T03:00:00Z,100527.02555311091073038773670,0,0,0
2024-01-04T04:00:00Z,100644.24827628494138863841298,0,0,0
2024-01-04T05:00:00Z,100572.11121587015329125338142,0,0,0
2024-01-04T06:00:00Z,100635.23114373309287646528404,0,0,0
2024-01-04T07:00:00Z,100716.38533669972948602344454,0,0,0
2024-01-04T08:00:00Z,100725.40246925157799819657349,0,0,0
2024-01-04T09:00:00Z,100680.31680649233543733092876,0,0,0
2024-01-04T10:00:00Z,100653.26540883678990081154193,0,0,0
2024-01-04T11:00:00Z,100671.29967394048692515779982,0,0,0
