ts,equity_total_usdt,realized_pnl_usdt,unrealized_pnl_usdt,cash_balance_usdt
2024-01-01T00:00:00Z,100000,0,0,0
2024-01-01T01:00:00Z,100000,0,0,0
2024-01-01T02:00:00Z,100000,0,0,0
2024-01-01T03:00:00Z,100000,0,0,0
2024-01-01T04:00:00Z,100000,0,0,0
2024-01-01T05:00:00Z,100000,0,0,0
2024-01-01T06:00:00Z,100000,0,0,0
2024-01-01T07:00:00Z,100000,0,0,0
2024-01-01T08:00:00Z,100000,0,0,0
2024-01-01T09:00:00Z,100000,0,0,0
2024-01-01T10:00:00Z,100000,0,0,0
2024-01-01T11:00:00Z,100000,0,0,0
2024-01-01T12:00:00Z,100000,0,0,0
2024-01-01T13:00:00Z,100000,0,0,0
2024-01-01T14:00:00Z,100000,0,0,0
2024-01-01T15:00:00Z,100000,0,0,0
2024-01-01T16:00:00Z,100000,0,0,0
2024-01-01T17:00:00Z,100000,0,0,0
2024-01-01T18:00:00Z,100000,0,0,0
2024-01-01T19:00:00Z,100000,0,0,0
2024-01-01T20:00:00Z,100000,0,0,0
2024-01-01T21:00:00Z,100000,0,0,0
2024-01-01T22:00:00Z,100000,0,0,0
2024-01-01T23:00:00Z,100000,0,0,0
2024-01-02T00:00:00Z,100000,0,0,0
2024-01-02T01:00:00Z,100000,0,0,0
2024-01-02T02:00:00Z,100000,0,0,0
2024-01-02T03:00:00Z,100000,0,0,0
2024-01-02T04:00:00Z,100000,0,0,0
2024-01-02T05:00:00Z,100000,0,0,0
2024-01-02T06:00:00Z,100000,0,0,0
2024-01-02T07:00:00Z,100000,0,0,0
2024-01-02T08:00:00Z,100000,0,0,0
2024-01-02T09:00:00Z,100000,0,0,0
2024-01-02T10:00:00Z,100000,0,0,0
2024-01-02T11:00:00Z,100000,0,0,0
2024-01-02T12:00:00Z,100000,0,0,0
2024-01-02T13:00:00Z,100000,0,0,0
2024-01-02T14:00:00Z,100000,0,0,0
2024-01-02T15:00:00Z,100000,0,0,0
2024-01-02T16:00:00Z,100000,0,0,0
2024-01-02T17:00:00Z,100000,0,0,0
2024-01-02T18:00:00Z,100000,0,0,0
2024-01-02T19:00:00Z,100000,0,0,0
2024-01-02T20:00:00Z,100000,0,0,0
2024-01-02T21:00:00Z,100000,0,0,0
2024-01-02T22:00:00Z,100000,0,0,0
2024-01-02T23:00:00Z,100000,0,0,0
2024-01-03T00:00:00Z,100000,0,0,0
2024-01-03T01:00:00Z,100000,0,0,0
2024-01-03T02:00:00Z,99985.99760000000000000000000,0,0,0
2024-01-03T03:00:00Z,99979.30863678929765886287625,0,0,0
2024-01-03T04:00:00Z,100003.83483522853957636566332,0,0,0
2024-01-03T05:00:00Z,99992.68656321070234113712375,0,0,0
2024-01-03T06:00:00Z,100052.88723210702341137123746,0,0,0
2024-01-03T07:00:00Z,100041.73896008918617614269788,0,0,0
2024-01-03T08:00:00Z,100046.19826889632107023411371,0,0,0
2024-01-03T09:00:00Z,100028.36103366778149386845039,0,0,0
2024-01-03T10:00:00Z,100090.79135696767001114827202,0,0,0
2024-01-03T11:00:00Z,100075.18377614269788182831661,0,0,0
2024-01-03T12:00:00Z,100066.26515852842809364548495,0,0,0
2024-01-03T13:00:00Z,100068.49481293199554069119286,0,0,0
2024-01-03T14:00:00Z,100066.26515852842809364548495,0,0,0
2024-01-03T15:00:00Z,100008.29414403567447045707915,0,0,0
2024-01-03T16:00:00Z,100041.73896008918617614269788,0,0,0
2024-01-03T17:00:00Z,100010.52379843924191750278707,0,0,0
2024-01-03T18:00:00Z,99994.91621761426978818283166,0,0,0
2024-01-03T19:00:00Z,100008.29414403567447045707915,0,0,0
2024-01-03T20:00:00Z,100039.50930568561872909698997,0,0,0
2024-01-03T21:00:00Z,100057.34654091415830546265329,0,0,0
2024-01-03T22:00:00Z,100046.19826889632107023411371,0,0,0
2024-01-03T23:00:00Z,100052.88723210702341137123746,0,0,0
2024-01-04T00:00:00Z,100077.41343054626532887402453,0,0,0
2024-01-04T01:00:00Z,100113.08790100334448160535117,0,0,0
2024-01-04T02:00:00Z,100295.91956209587513935340022,0,0,0
2024-01-04T03:00:00Z,100356.12023099219620958751394,0,0,0
2024-01-04T04:00:00Z,100418.55055429208472686733556,0,0,0
2024-01-04T05:00:00Z,100385.10573823857302118171683,0,0,0
2024-01-04T06:00:00Z,100373.95746622073578595317726,0,0,0
2024-01-04T07:00:00Z,100389.56504704570791527313266,0,0,0
2024-01-04T08:00:00Z,100382.87608383500557413600892,0,0,0
2024-01-04T09:00:00Z,100336.05334136008918617614270,0,0,0
2024-01-04T10:00:00Z,100342.74230457079152731326644,0,0,0
2024-01-04T11:00:00Z,100329.36437814938684503901895,0,0,0
