ts,equity_total_usdt,realized_pnl_usdt,unrealized_pnl_usdt,cash_balance_usdt
2024-01-01T00:00:00Z,100000,0,0,0
2024-01-01T01:00:00Z,100000,0,0,0
2024-01-01T02:00:00Z,100000,0,0,0
2024-01-01T03:00:00Z,100000,0,0,0
2024-01-01T04:00:00Z,100000,0,0,0
2024-01-01T05:00:00Z,100000,0,0,0
2024-01-01T06:00:00Z,100000,0,0,0
2024-01-01T07:00:00Z,100000,0,0,0
2024-01-01T08:00:00Z,100000,0,0,0
2024-01-01T09:00:00Z,100000,0,0,0
2024-01-01T10:00:00Z,100000,0,0,0
2024-01-01T11:00:00Z,100000,0,0,0
2024-01-01T12:00:00Z,100000,0,0,0
2024-01-01T13:00:00Z,100000,0,0,0
2024-01-01T14:00:00Z,100000,0,0,0
2024-01-01T15:00:00Z,100000,0,0,0
2024-01-01T16:00:00Z,100000,0,0,0
2024-01-01T17:00:00Z,100000,0,0,0
2024-01-01T18:00:00Z,100000,0,0,0
2024-01-01T19:00:00Z,100000,0,0,0
2024-01-01T20:00:00Z,100000,0,0,0
2024-01-01T21:00:00Z,100000,0,0,0
2024-01-01T22:00:00Z,100000,0,0,0
2024-01-01T23:00:00Z,100000,0,0,0
2024-01-02T00:00:00Z,100000,0,0,0
2024-01-02T01:00:00Z,100000,0,0,0
2024-01-02T02:00:00Z,100000,0,0,0
2024-01-02T03:00:00Z,100000,0,0,0
2024-01-02T04:00:00Z,100000,0,0,0
2024-01-02T05:00:00Z,100000,0,0,0
2024-01-02T06:00:00Z,100000,0,0,0
2024-01-02T07:00:00Z,100000,0,0,0
2024-01-02T08:00:00Z,100000,0,0,0
2024-01-02T09:00:00Z,100000,0,0,0
2024-01-02T10:00:00Z,100000,0,0,0
2024-01-02T11:00:00Z,100000,0,0,0
2024-01-02T12:00:00Z,100000,0,0,0
2024-01-02T13:00:00Z,100000,0,0,0
2024-01-02T14:00:00Z,100000,0,0,0
2024-01-02T15:00:00Z,100000,0,0,0
2024-01-02T16:00:00Z,100000,0,0,0
2024-01-02T17:00:00Z,100000,0,0,0
2024-01-02T18:00:00Z,100000,0,0,0
2024-01-02T19:00:00Z,100000,0,0,0
2024-01-02T20:00:00Z,100000,0,0,0
2024-01-02T21:00:00Z,100000,0,0,0
2024-01-02T22:00:00Z,100000,0,0,0
2024-01-02T23:00:00Z,100000,0,0,0
2024-01-03T00:00:00Z,100000,0,0,0
2024-01-03T01:00:00Z,100000,0,0,0
2024-01-03T02:00:00Z,99985.99760000000000000000000,0,0,0
2024-01-03T03:00:00Z,99965.07709790794979079497908,0,0,0
2024-01-03T04:00:00Z,100027.83860418410041841004184,0,0,0
2024-01-03T05:00:00Z,100027.83860418410041841004184,0,0,0
2024-01-03T06:00:00Z,100111.52061255230125523012552,0,0,0
2024-01-03T07:00:00Z,100121.98086359832635983263598,0,0,0
2024-01-03T08:00:00Z,100132.44111464435146443514644,0,0,0
2024-01-03T09:00:00Z,100069.67960836820083682008368,0,0,0
2024-01-03T10:00:00Z,100121.98086359832635983263598,0,0,0
2024-01-03T11:00:00Z,100121.98086359832635983263598,0,0,0
2024-01-03T12:00:00Z,100080.13985941422594142259414,0,0,0
2024-01-03T13:00:00Z,100059.21935732217573221757322,0,0,0
2024-01-03T14:00:00Z,100080.13985941422594142259414,0,0,0
2024-01-03T15:00:00Z,100111.52061255230125523012552,0,0,0
2024-01-03T16:00:00Z,100163.82186778242677824267782,0,0,0
2024-01-03T17:00:00Z,100101.06036150627615062761506,0,0,0
2024-01-03T18:00:00Z,100111.52061255230125523012552,0,0,0
2024-01-03T19:00:00Z,99944.15659581589958158995816,0,0,0
2024-01-03T20:00:00Z,99912.77584267782426778242678,0,0,0
2024-01-03T21:00:00Z,99975.53734895397489539748954,0,0,0
2024-01-03T22:00:00Z,99965.07709790794979079497908,0,0,0
2024-01-03T23:00:00Z,100006.91810209205020920502092,0,0,0
2024-01-04T00:00:00Z,99996.45785104602510460251046,0,0,0
2024-01-04T01:00:00Z,99985.99760000000000000000000,0,0,0
2024-01-04T02:00:00Z,100153.36161673640167364016736,0,0,0
2024-01-04T03:00:00Z,100257.96412719665271966527197,0,0,0
2024-01-04T04:00:00Z,100644.99341589958158995815900,0,0,0
2024-01-04T05:00:00Z,100624.07291380753138075313808,0,0,0
2024-01-04T06:00:00Z,100686.83442008368200836820084,0,0,0
2024-01-04T07:00:00Z,100739.13567531380753138075314,0,0,0
2024-01-04T08:00:00Z,100718.21517322175732217573222,0,0,0
2024-01-04T09:00:00Z,100760.05617740585774058577406,0,0,0
2024-01-04T10:00:00Z,100780.97667949790794979079498,0,0,0
2024-01-04T11:00:00Z,100770.51642845188284518828452,0,0,0
